package_name,package_type,versions,xray_ids
formik-error-focus,npm,[2.0.1],XRAY-898416
formik-store,npm,[1.0.1],XRAY-898279
frontity-starter-theme,npm,[1.0.1],XRAY-898592
fuzzy-finder,npm,"[1.0.5], [1.0.6]",XRAY-898170
gate-evm-check-code2,npm,"[2.0.4], [2.0.5], [2.0.6], [2.0.3]",XRAY-897921
gate-evm-tools-test,npm,"[1.0.6], [1.0.7], [1.0.5], [1.0.8]",XRAY-897992
gatsby-plugin-antd,npm,[2.2.1],XRAY-898576
gatsby-plugin-cname,npm,"[1.0.1], [1.0.2]",XRAY-898332
generator-meteor-stock,npm,[0.1.6],XRAY-898248
generator-ng-itobuz,npm,[0.0.15],XRAY-898119
get-them-args,npm,[1.3.3],XRAY-898458
github-action-for-generator,npm,"[2.1.28], [2.1.27]",XRAY-898402
gitsafe,npm,[1.0.5],XRAY-898494
go-template,npm,"[0.1.9], [0.1.8]",XRAY-898035
gulp-inject-envs,npm,"[1.2.1], [1.2.2]",XRAY-897987
@hapheus/n8n-nodes-pgp,npm,[1.5.1],XRAY-898025
haufe-axera-api-client,npm,"[0.0.1], [0.0.2]",XRAY-898152
hopedraw,npm,[1.0.3],XRAY-897995
hope-mapboxdraw,npm,[0.1.1],XRAY-898514
@hover-design/core,npm,[0.0.1],XRAY-898089
hover-design-prototype,npm,[0.0.5],XRAY-898436
@hover-design/react,npm,[0.2.1],XRAY-898151
httpness,npm,"[1.0.3], [1.0.2]",XRAY-897955
@huntersofbook/auth-vue,npm,[0.4.2],XRAY-898646
@huntersofbook/core,npm,[0.5.1],XRAY-898659
@huntersofbook/core-nuxt,npm,[0.4.2],XRAY-898633
@huntersofbook/form-naiveui,npm,[0.5.1],XRAY-898619
@huntersofbook/i18n,npm,[0.8.2],XRAY-898694
@huntersofbook/ui,npm,[0.5.1],XRAY-898656
hyper-fullfacing,npm,[1.0.3],XRAY-897962
@hyperlook/telemetry-sdk,npm,[1.0.19],XRAY-898573
hyperterm-hipster,npm,[1.0.7],XRAY-898202
ids-css,npm,[1.5.1],XRAY-898559
ids-enterprise-mcp-server,npm,[0.0.2],XRAY-898560
ids-enterprise-ng,npm,[20.1.6],XRAY-898581
ids-enterprise-typings,npm,[20.1.6],XRAY-898585
@ifelsedeveloper/protocol-contracts-svm-idl,npm,"[0.1.3], [0.1.2]",XRAY-898524
@ifings/design-system,npm,[4.9.2],XRAY-897998
@ifings/metatron3,npm,[0.1.5],XRAY-898395
image-to-uri,npm,"[1.0.1], [1.0.2]",XRAY-898042
insomnia-plugin-random-pick,npm,[1.0.4],XRAY-898721
invo,npm,[0.2.2],XRAY-898250
iron-shield-miniapp,npm,[0.0.2],XRAY-898093
ito-button,npm,[8.0.3],XRAY-898312
itobuz-angular,npm,[0.0.1],XRAY-898445
itobuz-angular-auth,npm,[8.0.11],XRAY-897927
itobuz-angular-button,npm,[8.0.11],XRAY-898278
jacob-zuma,npm,"[1.0.1], [1.0.2]",XRAY-898062
jaetut-varit-test,npm,[1.0.2],XRAY-898556
jan-browser,npm,[0.13.1],XRAY-898427
@jayeshsadhwani/telemetry-sdk,npm,[1.0.14],XRAY-898593
jquery-bindings,npm,"[1.1.2], [1.1.3]",XRAY-897965
jsonsurge,npm,[1.0.7],XRAY-898424
just-toasty,npm,[1.7.1],XRAY-898450
kill-port,npm,"[2.0.3], [2.0.2]",XRAY-898066
kinetix-default-token-list,npm,[1.0.5],XRAY-898730
kinvey-cli-wrapper,npm,[0.3.1],XRAY-898753
kinvey-flex-scripts,npm,[0.5.1],XRAY-898757
kns-error-code,npm,[1.0.8],XRAY-898692
korea-administrative-area-geo-json-util,npm,[1.0.7],XRAY-898518
@kvytech/cli,npm,[0.0.7],XRAY-898218
@kvytech/components,npm,[0.0.2],XRAY-897989
@kvytech/habbit-e2e-test,npm,[0.0.2],XRAY-898240
@kvytech/medusa-plugin-announcement,npm,[0.0.8],XRAY-898348
@kvytech/medusa-plugin-management,npm,[0.0.5],XRAY-898183
@kvytech/medusa-plugin-newsletter,npm,[0.0.5],XRAY-898444
@kvytech/medusa-plugin-product-reviews,npm,[0.0.9],XRAY-898448
@kvytech/medusa-plugin-promotion,npm,[0.0.2],XRAY-898381
@kvytech/web,npm,[0.0.2],XRAY-898258
kwami,npm,"[1.5.9], [1.5.10]",XRAY-897935
lang-codes,npm,"[1.0.1], [1.0.2]",XRAY-897988
@lessondesk/api-client,npm,"[9.12.3], [9.12.2]",XRAY-898203
@lessondesk/babel-preset,npm,[1.0.1],XRAY-898112
@lessondesk/electron-group-api-client,npm,[1.0.3],XRAY-898354
@lessondesk/eslint-config,npm,[1.4.2],XRAY-898245
@lessondesk/material-icons,npm,[1.0.3],XRAY-897991
@lessondesk/react-table-context,npm,[2.0.4],XRAY-898301
@lessondesk/schoolbus,npm,"[5.2.3], [5.2.2]",XRAY-898400
license-o-matic,npm,"[1.2.1], [1.2.2]",XRAY-898481
lint-staged-imagemin,npm,"[1.3.1], [1.3.2]",XRAY-898333
lite-serper-mcp-server,npm,[0.2.2],XRAY-898325
@livecms/live-edit,npm,[0.0.32],XRAY-898717
@livecms/nuxt-live-edit,npm,[1.9.2],XRAY-898665
@lokeswari-satyanarayanan/rn-zustand-expo-template,npm,[1.0.9],XRAY-898622
@louisle2/core,npm,[1.0.1],XRAY-898038
@louisle2/cortex-js,npm,[0.1.6],XRAY-898236
@lpdjs/firestore-repo-service,npm,[1.0.1],XRAY-898447
@lui-ui/lui-nuxt,npm,[0.1.1],XRAY-898715
@lui-ui/lui-tailwindcss,npm,[0.1.2],XRAY-898711
@lui-ui/lui-vue,npm,[1.0.13],XRAY-898628
lui-vue-test,npm,[0.70.9],XRAY-898668
luno-api,npm,[1.2.3],XRAY-898314
m25-transaction-utils,npm,[1.1.16],XRAY-898716
manual-billing-system-miniapp-api,npm,[1.3.1],XRAY-898316
@markvivanco/app-version-checker,npm,"[1.0.2], [1.0.1]",XRAY-898057
mcp-use,npm,"[1.4.2], [1.4.3]",XRAY-898125
@mcp-use/cli,npm,"[2.2.7], [2.2.6]",XRAY-897920
@mcp-use/inspector,npm,"[0.6.2], [0.6.3]",XRAY-898284
@mcp-use/mcp-use,npm,"[1.0.1], [1.0.2]",XRAY-898451
medusa-plugin-announcement,npm,[0.0.3],XRAY-898246
medusa-plugin-logs,npm,[0.0.17],XRAY-898465
medusa-plugin-momo,npm,[0.0.68],XRAY-898425
medusa-plugin-product-reviews-kvy,npm,[0.0.4],XRAY-898277
medusa-plugin-zalopay,npm,[0.0.40],XRAY-898191
@micado-digital/stadtmarketing-kufstein-external,npm,[1.9.1],XRAY-898754
@mizzle-dev/orm,npm,[0.0.2],XRAY-898758
mod10-check-digit,npm,[1.0.1],XRAY-898019
mon-package-react-typescript,npm,[1.0.1],XRAY-898384
@mparpaillon/connector-parse,npm,[1.0.1],XRAY-898441
@mparpaillon/imagesloaded,npm,[4.1.2],XRAY-898168
@mparpaillon/page,npm,[1.0.1],XRAY-898335
my-saeed-lib,npm,[0.1.1],XRAY-898701
n8n-nodes-tmdb,npm,[0.5.1],XRAY-898241
n8n-nodes-vercel-ai-sdk,npm,[0.1.7],XRAY-898009
n8n-nodes-viral-app,npm,[0.2.5],XRAY-898493
nanoreset,npm,"[7.0.1], [7.0.2]",XRAY-897901
next-circular-dependency,npm,"[1.0.3], [1.0.2]",XRAY-898174
next-simple-google-analytics,npm,"[1.1.1], [1.1.2]",XRAY-897948
next-styled-nprogress,npm,"[1.0.4], [1.0.5]",XRAY-898101
ngx-useful-swiper-prosenjit,npm,[9.0.2],XRAY-898173
